CIRCUITS REPORT
=============================================================================================================================================== 
  CIRC    FROM    TO      Pik (MW)  Qik (MVAr)   Sik (MVA)   Pki (MW)  Qki (MVAr)    Ski (MVA)  Cap (MVA)    Loading    Ploss (MW)  Qloss (MVAr)
  119   1196     51      105.98        0.00      105.98     -105.98       0.00      -105.98   455.0000       0.2329        0.000        0.000
  120   1197     51      128.18        0.00      128.18     -128.18       0.00      -128.18   455.0000       0.2817        0.000        0.000
  121    166     52       69.45        0.00       69.45      -69.45       0.00       -69.45   846.0000       0.0821        0.000        0.000
  122   5489     52      -62.95        0.00      -62.95       62.95       0.00        62.95   767.0000       0.0821        0.000        0.000
  123   3349     53        0.00        0.00        0.00        0.00       0.00         0.00   1285.0000       0.0000        0.000        0.000
  124   2769     54        0.30        0.00        0.30       -0.30       0.00        -0.30   600.0000       0.0005        0.000        0.000
  125    373     55       50.90        0.00       50.90      -50.90       0.00       -50.90   53862.0000       0.0009        0.000        0.000
  126   2693     56     -179.35        0.00     -179.35      179.35       0.00       179.35   452.0000       0.3968        0.000        0.000
  127   3427     56      254.85        0.00      254.85     -254.85       0.00      -254.85   481.0000       0.5298        0.000        0.000
  128   5098     57      -13.00        0.00      -13.00       13.00       0.00        13.00   11560.0000       0.0011        0.000        0.000
  129   3390     58       97.88        0.00       97.88      -97.88       0.00       -97.88   268.0000       0.3652        0.000        0.000
  130   3565     58       56.12        0.00       56.12      -56.12       0.00       -56.12   268.0000       0.2094        0.000        0.000
  131    142     59       12.09        0.00       12.09      -12.09       0.00       -12.09   370.0000       0.0327        0.000        0.000
  132   1652     59       -7.09        0.00       -7.09        7.09       0.00         7.09   1124.0000       0.0063        0.000        0.000
  133   2476     60        7.61        0.00        7.61       -7.61       0.00        -7.61   173.0000       0.0440        0.000        0.000
  134   3525     60       -7.61        0.00       -7.61        7.61       0.00         7.61   195.0000       0.0390        0.000        0.000
  135   2228     61       28.68        0.00       28.68      -28.68       0.00       -28.68   589.0000       0.0487        0.000        0.000
  136   2634     61       17.62        0.00       17.62      -17.62       0.00       -17.62   195.0000       0.0904        0.000        0.000
  137   2048     62        8.66        0.00        8.66       -8.66       0.00        -8.66   510.0000       0.0170        0.000        0.000
  138   2950     62       -8.66        0.00       -8.66        8.66       0.00         8.66   996.0000       0.0087        0.000        0.000
  139    371     63       -1.24        0.00       -1.24        1.24       0.00         1.24   434.0000       0.0029        0.000        0.000
  140   3081     63       18.04        0.00       18.04      -18.04       0.00       -18.04   485.0000       0.0372        0.000        0.000
  141    145     64       46.93        0.00       46.93      -46.93       0.00       -46.93   424.0000       0.1107        0.000        0.000
  142   5108     64       20.37        0.00       20.37      -20.37       0.00       -20.37   290.0000       0.0702        0.000        0.000
  143   4607     65        3.00        0.00        3.00       -3.00       0.00        -3.00   891.0000       0.0034        0.000        0.000
  144   4607     65        3.00        0.00        3.00       -3.00       0.00        -3.00   889.0000       0.0034        0.000        0.000
  145   1546     66      -11.80        0.00      -11.80       11.80       0.00        11.80   119.0000       0.0992        0.000        0.000
  146   2292     66       28.36        0.00       28.36      -28.36       0.00       -28.36    67.0000       0.4233        0.000        0.000
  147   3249     66       -3.56        0.00       -3.56        3.56       0.00         3.56   161.0000       0.0221        0.000        0.000
  148   3030     67        1.00        0.00        1.00       -1.00       0.00        -1.00   1862.0000       0.0005        0.000        0.000
  149   2883     68       -4.85        0.00       -4.85        4.85       0.00         4.85   191.0000       0.0254        0.000        0.000
  150   4537     68       17.87        0.00       17.87      -17.87       0.00       -17.87   176.0000       0.1016        0.000        0.000
  151   5151     68       40.08        0.00       40.08      -40.08       0.00       -40.08   1726.0000       0.0232        0.000        0.000
  152   4610     69       20.80        0.00       20.80      -20.80       0.00       -20.80   136.0000       0.1529        0.000        0.000
  153   5099     70       10.60        0.00       10.60      -10.60       0.00       -10.60   303410.0000       0.0000        0.000        0.000
  154   2165     71       45.00        0.00       45.00      -45.00       0.00       -45.00   11313.0000       0.0040        0.000        0.000
  155   3145     71        5.31        0.00        5.31       -5.31       0.00        -5.31   306.0000       0.0174        0.000        0.000
  156   5100     71        1.19        0.00        1.19       -1.19       0.00        -1.19   1625.0000       0.0007        0.000        0.000
  157   3145     71        6.29        0.00        6.29       -6.29       0.00        -6.29   363.0000       0.0173        0.000        0.000
  158   3746     72     -121.50        0.00     -121.50      121.50       0.00       121.50   379.0000       0.3206        0.000        0.000
  159   3746     73     -121.50        0.00     -121.50      121.50       0.00       121.50   379.0000       0.3206        0.000        0.000
  160   5108     74      -20.37        0.00      -20.37       20.37       0.00        20.37   290.0000       0.0702        0.000        0.000
  161   5128     74        8.28        0.00        8.28       -8.28       0.00        -8.28   522.0000       0.0159        0.000        0.000
  162    145     74       70.88        0.00       70.88      -70.88       0.00       -70.88   418.0000       0.1696        0.000        0.000
  163   4964     75       13.12        0.00       13.12      -13.12       0.00       -13.12   594.0000       0.0221        0.000        0.000
  164   2084     75       12.08        0.00       12.08      -12.08       0.00       -12.08   1945.0000       0.0062        0.000        0.000
  165   3082     76      -39.12        0.00      -39.12       39.12       0.00        39.12   304.0000       0.1287        0.000        0.000
  166   3832     76       45.02        0.00       45.02      -45.02       0.00       -45.02   270.0000       0.1667        0.000        0.000
  167   2344     77       43.70        0.00       43.70      -43.70       0.00       -43.70   775.0000       0.0564        0.000        0.000
  168    240     78        1.00        0.00        1.00       -1.00       0.00        -1.00   3471.0000       0.0003        0.000        0.000
  169   4562     78       -1.00        0.00       -1.00        1.00       0.00         1.00   90076.0000       0.0000        0.000        0.000
  170    630     79       -8.70        0.00       -8.70        8.70       0.00         8.70   1176.0000       0.0074        0.000        0.000
  171   1871     79       44.00        0.00       44.00      -44.00       0.00       -44.00   1899.0000       0.0232        0.000        0.000
  172   2410     79      -17.70        0.00      -17.70       17.70       0.00        17.70   1510.0000       0.0117        0.000        0.000
  173   4077     79        4.25        0.00        4.25       -4.25       0.00        -4.25   16079.0000       0.0003        0.000        0.000
  174    630     79       -8.70        0.00       -8.70        8.70       0.00         8.70   1176.0000       0.0074        0.000        0.000
  175   4076     79        4.25        0.00        4.25       -4.25       0.00        -4.25   18009.0000       0.0002        0.000        0.000
  176   4078     81       32.40        0.00       32.40      -32.40       0.00       -32.40   701.0000       0.0462        0.000        0.000
  177   4078     80       32.40        0.00       32.40      -32.40       0.00       -32.40   251.0000       0.1291        0.000        0.000
  178    680     82      -19.77        0.00      -19.77       19.77       0.00        19.77   159.0000       0.1243        0.000        0.000
  179    803     82       -0.90        0.00       -0.90        0.90       0.00         0.90   400.0000       0.0022        0.000        0.000
  180   2073     82       31.96        0.00       31.96      -31.96       0.00       -31.96   145.0000       0.2204        0.000        0.000
  181   3485     83       79.00        0.00       79.00      -79.00       0.00       -79.00   405.0000       0.1951        0.000        0.000
  182   2129     84       -0.13        0.00       -0.13        0.13       0.00         0.13   235.0000       0.0006        0.000        0.000
  183   3802     84        0.03        0.00        0.03       -0.03       0.00        -0.03   1130.0000       0.0000        0.000        0.000
  184   5103     85        0.70        0.00        0.70       -0.70       0.00        -0.70   212.0000       0.0033        0.000        0.000
  185   2809     86       46.53        0.00       46.53      -46.53       0.00       -46.53   220.0000       0.2115        0.000        0.000
  186   3511     86        2.27        0.00        2.27       -2.27       0.00        -2.27   286.0000       0.0079        0.000        0.000
  187   3771     87       -1.70        0.00       -1.70        1.70       0.00         1.70   455.0000       0.0037        0.000        0.000
  188   4346     87        6.80        0.00        6.80       -6.80       0.00        -6.80   143.0000       0.0476        0.000        0.000
  189   3771     87       -1.70        0.00       -1.70        1.70       0.00         1.70   456.0000       0.0037        0.000        0.000
  190   1617     88      -22.41        0.00      -22.41       22.41       0.00        22.41   125.0000       0.1793        0.000        0.000
  191   1706     88       28.90        0.00       28.90      -28.90       0.00       -28.90   314.0000       0.0920        0.000        0.000
  192   3642     88       -8.69        0.00       -8.69        8.69       0.00         8.69   111.0000       0.0782        0.000        0.000
  193   5559     88       17.00        0.00       17.00      -17.00       0.00       -17.00   52398.0000       0.0003        0.000        0.000
  194   2496     89       31.47        0.00       31.47      -31.47       0.00       -31.47   325.0000       0.0968        0.000        0.000
  195   4226     89       -5.27        0.00       -5.27        5.27       0.00         5.27   343.0000       0.0154        0.000        0.000
  196   5104     90        0.20        0.00        0.20       -0.20       0.00        -0.20   21404.0000       0.0000        0.000        0.000
  197   3727     91        0.00        0.00        0.00        0.00       0.00         0.00   183.0000       0.0000        0.000        0.000
  198    653     92       28.59        0.00       28.59      -28.59       0.00       -28.59   178.0000       0.1606        0.000        0.000
  199   4056     92      -11.00        0.00      -11.00       11.00       0.00        11.00   269.0000       0.0409        0.000        0.000
  200   5729     92       14.21        0.00       14.21      -14.21       0.00       -14.21   548.0000       0.0259        0.000        0.000
  201   2137     93        2.00        0.00        2.00       -2.00       0.00        -2.00   1195.0000       0.0017        0.000        0.000
  202   3768     94       16.96        0.00       16.96      -16.96       0.00       -16.96   1339.0000       0.0127        0.000        0.000
  203   5844     94        1.24        0.00        1.24       -1.24       0.00        -1.24   511.0000       0.0024        0.000        0.000
  204    283     95      -15.21        0.00      -15.21       15.21       0.00        15.21   896.0000       0.0170        0.000        0.000
  205   1174     95       39.40        0.00       39.40      -39.40       0.00       -39.40   802.0000       0.0491        0.000        0.000
  206   5705     95       33.00        0.00       33.00      -33.00       0.00       -33.00   1943.0000       0.0170        0.000        0.000
  207   4110     96        0.90        0.00        0.90       -0.90       0.00        -0.90   706.0000       0.0013        0.000        0.000
  208   3001     97       29.78        0.00       29.78      -29.78       0.00       -29.78   249.0000       0.1196        0.000        0.000
  209   4176     97      -41.76        0.00      -41.76       41.76       0.00        41.76   167.0000       0.2501        0.000        0.000
  210   4445     97      -19.64        0.00      -19.64       19.64       0.00        19.64   487.0000       0.0403        0.000        0.000
  211   3001     97       29.78        0.00       29.78      -29.78       0.00       -29.78   249.0000       0.1196        0.000        0.000
  212   1252     98        0.00        0.00        0.00        0.00       0.00         0.00   59599.0000       0.0000        0.000        0.000
  213   3517     98        6.35        0.00        6.35       -6.35       0.00        -6.35    79.0000       0.0803        0.000        0.000
  214   4652     98        3.15        0.00        3.15       -3.15       0.00        -3.15   158.0000       0.0200        0.000        0.000
  215   2633     99       29.36        0.00       29.36      -29.36       0.00       -29.36   422.0000       0.0696        0.000        0.000
  216   2634     99        6.44        0.00        6.44       -6.44       0.00        -6.44   422.0000       0.0153        0.000        0.000
  217    552    100      -13.80        0.00      -13.80       13.80       0.00        13.80   469.0000       0.0294        0.000        0.000
  218   1194    100       32.36        0.00       32.36      -32.36       0.00       -32.36   246.0000       0.1316        0.000        0.000
  219   1195    100       44.44        0.00       44.44      -44.44       0.00       -44.44   255.0000       0.1743        0.000        0.000
  220   1904    101       32.89        0.00       32.89      -32.89       0.00       -32.89   333.0000       0.0988        0.000        0.000
  221   4449    101      -15.59        0.00      -15.59       15.59       0.00        15.59   290.0000       0.0538        0.000        0.000
  222   1479    102        0.00        0.00        0.00        0.00       0.00         0.00   5495.0000       0.0000        0.000        0.000
  223   1964    103      -15.15        0.00      -15.15       15.15       0.00        15.15   244.0000       0.0621        0.000        0.000
