ID_CIRC;FROM_BUS;TO_BUS;Pik_MW;Qik_MVAr;Sik_MVA;Pki_MW;Qki_MVAr;Ski_MVA;Cap_MVA;Loading;Ploss_MW;Qloss_MVAr
5587;5610;3378;11.5;0.0;11.5;-11.5;0.0;-11.5;1519.0;0.0076;0.0;0.0
5588;5611;3379;28.1;0.0;28.1;-28.1;0.0;-28.1;241598.0;0.0001;0.0;0.0
5589;3836;3380;-11.607;0.0;-11.607;11.607;0.0;11.607;218.0;0.0532;0.0;0.0
5590;4337;3380;-19.762;0.0;-19.762;19.762;0.0;19.762;119.0;0.1661;0.0;0.0
5591;5728;3380;-22.81;0.0;-22.81;22.81;0.0;22.81;229.0;0.0996;0.0;0.0
5592;3836;3380;-11.671;0.0;-11.671;11.671;0.0;11.671;219.0;0.0533;0.0;0.0
5593;4119;3381;-158.528;0.0;-158.528;158.528;0.0;158.528;320.0;0.4954;0.0;0.0
5594;4406;3382;-24.01;0.0;-24.01;24.01;0.0;24.01;392.0;0.0613;0.0;0.0
5595;5542;3383;8.5;0.0;8.5;-8.5;0.0;-8.5;816.0;0.0104;0.0;0.0
5596;5541;3384;13.4;0.0;13.4;-13.4;0.0;-13.4;805.0;0.0166;0.0;0.0
5597;5093;3386;0.0;0.0;0.0;0.0;0.0;0.0;85.0;0.0;0.0;0.0
5598;3900;3387;9.68;0.0;9.68;-9.68;0.0;-9.68;332.0;0.0292;0.0;0.0
5599;3900;3387;9.37;0.0;9.37;-9.37;0.0;-9.37;321.0;0.0292;0.0;0.0
5600;5141;3388;4.448;0.0;4.448;-4.448;0.0;-4.448;63.0;0.0706;0.0;0.0
5601;4592;3390;-103.5;0.0;-103.5;103.5;0.0;103.5;401.0;0.2581;0.0;0.0
5602;3886;3391;-14.447;0.0;-14.447;14.447;0.0;14.447;865.0;0.0167;0.0;0.0
5603;4843;3391;16.682;0.0;16.682;-16.682;0.0;-16.682;269.0;0.062;0.0;0.0
5604;3923;3396;-38.164;0.0;-38.164;38.164;0.0;38.164;251.0;0.152;0.0;0.0
5605;5542;3396;-8.5;0.0;-8.5;8.5;0.0;8.5;242.0;0.0351;0.0;0.0
5606;3924;3396;-34.322;0.0;-34.322;34.322;0.0;34.322;251.0;0.1367;0.0;0.0
5607;5541;3396;-13.4;0.0;-13.4;13.4;0.0;13.4;243.0;0.0551;0.0;0.0
5608;3925;3397;-15.317;0.0;-15.317;15.317;0.0;15.317;312.0;0.0491;0.0;0.0
5609;4293;3398;39.3;0.0;39.3;-39.3;0.0;-39.3;198.0;0.1985;0.0;0.0
5610;3541;3399;-28.587;0.0;-28.587;28.587;0.0;28.587;259.0;0.1104;0.0;0.0
5611;4333;3399;-16.574;0.0;-16.574;16.574;0.0;16.574;112.0;0.148;0.0;0.0
5612;5304;3399;-10.271;0.0;-10.271;10.271;0.0;10.271;195.0;0.0527;0.0;0.0
5613;5517;3399;-35.878;0.0;-35.878;35.878;0.0;35.878;467.0;0.0768;0.0;0.0
5614;4027;3400;129.337;0.0;129.337;-129.337;0.0;-129.337;416.0;0.3109;0.0;0.0
5615;4027;3400;129.368;0.0;129.368;-129.368;0.0;-129.368;416.0;0.311;0.0;0.0
5616;5615;3402;10.5;0.0;10.5;-10.5;0.0;-10.5;3799.0;0.0028;0.0;0.0
5617;5486;3403;19.205;0.0;19.205;-19.205;0.0;-19.205;929.0;0.0207;0.0;0.0
5618;3405;3404;0.0;0.0;0.0;0.0;0.0;0.0;4524.0;0.0;0.0;0.0
5619;4131;3406;-5.255;0.0;-5.255;5.255;0.0;5.255;223.0;0.0236;0.0;0.0
5620;4043;3407;-5.557;0.0;-5.557;5.557;0.0;5.557;368.0;0.0151;0.0;0.0
5621;5617;3408;-24.0;0.0;-24.0;24.0;0.0;24.0;45731.0;0.0005;0.0;0.0
5622;4061;3411;-31.432;0.0;-31.432;31.432;0.0;31.432;346.0;0.0908;0.0;0.0
5623;3912;3415;-6.0;0.0;-6.0;6.0;0.0;6.0;132.0;0.0455;0.0;0.0
5624;4972;3416;361.651;0.0;361.651;-361.651;0.0;-361.651;1754.0;0.2062;0.0;0.0
5625;5620;3417;5.2;0.0;5.2;-5.2;0.0;-5.2;2846.0;0.0018;0.0;0.0
5626;4456;3418;-12.1;0.0;-12.1;12.1;0.0;12.1;1072.0;0.0113;0.0;0.0
5627;3981;3419;15.608;0.0;15.608;-15.608;0.0;-15.608;979.0;0.0159;0.0;0.0
