BUS;V_pu;Theta_deg;P_MW;Q_MVAr;PG_MW;QG_MVAr;PD_MW;QD_MVAr;Psh_MW;Qsh_MVAr
1613;1.0;-37.03;-52.2;0.0;0.0;0.0;52.2;0.0;0.0;0.0
1614;1.0;-28.87;-8.9;0.0;0.0;0.0;8.9;0.0;0.0;0.0
1615;1.0;-28.64;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1616;1.0;-31.55;-12.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0
1617;1.0;-32.36;-4.3;0.0;0.0;0.0;4.3;0.0;0.0;0.0
1618;1.0;-29.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1619;1.0;-27.1;-26.8;0.0;0.0;0.0;26.8;0.0;0.0;0.0
1620;1.0;-37.91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1621;1.0;-37.91;-40.8;0.0;0.0;0.0;40.8;0.0;0.0;0.0
1622;1.0;-29.26;-59.6;0.0;0.0;0.0;59.6;0.0;0.0;0.0
1623;1.0;-23.9;1.7;0.0;0.0;0.0;-1.7;0.0;0.0;0.0
1624;1.0;-43.03;-56.9;0.0;0.0;0.0;56.9;0.0;0.0;0.0
1625;1.0;-43.57;-47.5;0.0;0.0;0.0;47.5;0.0;0.0;0.0
1626;1.0;-47.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1627;1.0;-35.49;-12.3;0.0;0.0;0.0;12.3;0.0;0.0;0.0
1628;1.0;-24.3;-33.2;0.0;0.0;0.0;33.2;0.0;0.0;0.0
1629;1.0;-24.34;-51.2;0.0;0.0;0.0;51.2;0.0;0.0;0.0
1630;1.0;-20.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1631;1.0;-34.29;-9.8;0.0;0.0;0.0;9.8;0.0;0.0;0.0
1632;1.0;-39.62;-60.3;0.0;0.0;0.0;60.3;0.0;0.0;0.0
1633;1.0;-48.75;-23.6;0.0;0.0;0.0;23.6;0.0;0.0;0.0
1634;1.0;-56.31;-20.6;0.0;0.0;0.0;20.6;0.0;0.0;0.0
1635;1.0;-20.5;-21.9;0.0;0.0;0.0;21.9;0.0;0.0;0.0
1636;1.0;-15.52;-10.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0
1637;1.0;-22.99;-22.6;0.0;0.0;0.0;22.6;0.0;0.0;0.0
1638;1.0;-32.0;-38.7;0.0;0.0;0.0;38.7;0.0;0.0;0.0
1639;1.0;-29.62;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1640;1.0;-40.12;-22.3;0.0;0.0;0.0;22.3;0.0;0.0;0.0
1641;1.0;-28.51;2.9;0.0;0.0;0.0;-2.9;0.0;0.0;0.0
1642;1.0;-26.6;-33.0;0.0;0.0;0.0;33.0;0.0;0.0;0.0
1643;1.0;-22.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1644;1.0;-28.56;-16.9;0.0;0.0;0.0;16.9;0.0;0.0;0.0
1645;1.0;-31.02;52.0;0.0;52.0;0.0;0.0;0.0;0.0;0.0
1646;1.0;-29.98;-24.4;0.0;0.0;0.0;24.4;0.0;0.0;0.0
1647;1.0;-33.33;-16.5;0.0;0.0;0.0;16.5;0.0;0.0;0.0
1648;1.0;-19.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1649;1.0;-47.7;-13.8;0.0;0.0;0.0;13.8;0.0;0.0;0.0
1650;1.0;-47.96;-10.3;0.0;0.0;0.0;10.3;0.0;0.0;0.0
1651;1.0;-34.7;-43.5;0.0;0.0;0.0;43.5;0.0;0.0;0.0
1652;1.0;-27.62;-29.9;0.0;0.0;0.0;29.9;0.0;0.0;0.0
1653;1.0;-17.93;-40.3;0.0;0.0;0.0;40.3;0.0;0.0;0.0
1654;1.0;-34.99;-21.1;0.0;0.0;0.0;21.1;0.0;0.0;0.0
1655;1.0;-34.95;-19.1;0.0;0.0;0.0;19.1;0.0;0.0;0.0
1656;1.0;-35.05;-24.1;0.0;0.0;0.0;24.1;0.0;0.0;0.0
1657;1.0;-29.63;-48.6;0.0;0.0;0.0;48.6;0.0;0.0;0.0
1658;1.0;-28.19;-0.6;0.0;0.0;0.0;0.6;0.0;0.0;0.0
1659;1.0;-16.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1660;1.0;-38.97;-12.6;0.0;0.0;0.0;12.6;0.0;0.0;0.0
1661;1.0;-24.68;-16.3;0.0;0.0;0.0;16.3;0.0;0.0;0.0
1662;1.0;-26.71;-34.7;0.0;0.0;0.0;34.7;0.0;0.0;0.0
1663;1.0;-23.49;-46.9;0.0;0.0;0.0;46.9;0.0;0.0;0.0
1664;1.0;-19.0;-8.4;0.0;0.0;0.0;8.4;0.0;0.0;0.0
1665;1.0;-36.44;-18.5;0.0;0.0;0.0;18.5;0.0;0.0;0.0
1666;1.0;-26.48;1.5;0.0;0.0;0.0;-1.5;0.0;0.0;0.0
1667;1.0;-25.3;-21.6;0.0;0.0;0.0;21.6;0.0;0.0;0.0
1668;1.0;-28.4;-31.7;0.0;0.0;0.0;31.7;0.0;0.0;0.0
1669;1.0;-20.25;-21.6;0.0;0.0;0.0;21.6;0.0;0.0;0.0
1670;1.0;-18.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1671;1.0;-40.27;-24.0;0.0;0.0;0.0;24.0;0.0;0.0;0.0
1672;1.0;-38.77;-1.4;0.0;0.0;0.0;1.4;0.0;0.0;0.0
1673;1.0;-26.85;-61.4;0.0;0.0;0.0;61.4;0.0;0.0;0.0
1674;1.0;-24.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1675;1.0;-21.94;-10.4;0.0;0.0;0.0;10.4;0.0;0.0;0.0
1676;1.0;-32.09;-20.8;0.0;0.0;0.0;20.8;0.0;0.0;0.0
1677;1.0;-31.27;-12.5;0.0;0.0;0.0;12.5;0.0;0.0;0.0
1678;1.0;-42.62;-58.5;0.0;0.0;0.0;58.5;0.0;0.0;0.0
1679;1.0;-49.19;-4.3;0.0;0.0;0.0;4.3;0.0;0.0;0.0
1680;1.0;-49.48;-37.6;0.0;0.0;0.0;37.6;0.0;0.0;0.0
1681;1.0;-40.31;-18.2;0.0;0.0;0.0;18.2;0.0;0.0;0.0
1682;1.0;-21.97;-59.6;0.0;0.0;0.0;59.6;0.0;0.0;0.0
1683;1.0;-19.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1684;1.0;-26.85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1685;1.0;-28.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1686;1.0;-27.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1687;1.0;-32.21;-8.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0
1688;1.0;-22.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1689;1.0;-28.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1690;1.0;-25.24;-90.3;0.0;0.0;0.0;90.3;0.0;0.0;0.0
1691;1.0;-17.02;-0.7;0.0;0.0;0.0;0.7;0.0;0.0;0.0
1692;1.0;-32.44;-1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
1693;1.0;-28.77;7.3;0.0;7.1;0.0;-0.2;0.0;0.0;0.0
1694;1.0;-38.61;-34.1;0.0;0.0;0.0;34.1;0.0;0.0;0.0
1695;1.0;-2.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1696;1.0;-2.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1697;1.0;-11.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1698;1.0;-8.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1699;1.0;-8.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1700;1.0;-19.26;-0.7;0.0;0.0;0.0;0.7;0.0;0.0;0.0
1701;1.0;-25.93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1702;1.0;-13.71;-8.3;0.0;0.0;0.0;8.3;0.0;0.0;0.0
1703;1.0;-17.21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1704;1.0;-24.72;-7.7;0.0;0.0;0.0;7.7;0.0;0.0;0.0
1705;1.0;-25.42;-45.1;0.0;0.0;0.0;45.1;0.0;0.0;0.0
1706;1.0;-27.99;28.9;0.0;28.9;0.0;0.0;0.0;0.0;0.0
1707;1.0;-39.3;-73.7;0.0;0.0;0.0;73.7;0.0;0.0;0.0
1708;1.0;-43.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1709;1.0;-43.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1710;1.0;-39.66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1711;1.0;-39.66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1712;1.0;-39.66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1713;1.0;-39.66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1714;1.0;-43.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1715;1.0;-43.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1716;1.0;-39.66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1717;1.0;-26.82;-66.9;0.0;0.0;0.0;66.9;0.0;0.0;0.0
1718;1.0;-24.62;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1719;1.0;-38.95;-66.4;0.0;0.0;0.0;66.4;0.0;0.0;0.0
1720;1.0;-38.97;-72.3;0.0;0.0;0.0;72.3;0.0;0.0;0.0
