BUSES REPORT
============================================================================================================================= 
   BUS    V (pu)     θ (º)     P (MW)     Q (MVAr)      PG (MW)    QG (MVAr)    PD (MW)   QD (MVAr)     Psh (MW)   Qsh (MVAr) 
  988    1.0000    -35.84        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  989    1.0000    -31.67      -17.40        0.00        0.00        0.00       17.40        0.00        0.00        0.00
  990    1.0000    -28.22      -13.00        0.00        0.00        0.00       13.00        0.00        0.00        0.00
  991    1.0000    -32.56       -9.00        0.00        0.00        0.00        9.00        0.00        0.00        0.00
  992    1.0000    -37.91        1.00        0.00        0.00        0.00       -1.00        0.00        0.00        0.00
  993    1.0000    -39.75        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  994    1.0000    -39.22        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  995    1.0000    -39.31        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  996    1.0000    -28.45      -20.90        0.00        0.00        0.00       20.90        0.00        0.00        0.00
  997    1.0000    -30.11      -17.50        0.00        0.00        0.00       17.50        0.00        0.00        0.00
  998    1.0000    -37.28      -13.50        0.00        0.00        0.00       13.50        0.00        0.00        0.00
  999    1.0000    -35.00       -8.30        0.00        0.00        0.00        8.30        0.00        0.00        0.00
 1000    1.0000    -22.82        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1001    1.0000    -22.28        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1002    1.0000    -21.98        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1003    1.0000    -18.20        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1004    1.0000    -37.16      -55.50        0.00        0.00        0.00       55.50        0.00        0.00        0.00
 1005    1.0000    -25.33       -2.00        0.00        0.00        0.00        2.00        0.00        0.00        0.00
 1006    1.0000    -25.69       -0.60        0.00        0.00        0.00        0.60        0.00        0.00        0.00
 1007    1.0000    -24.45        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1008    1.0000    -25.84        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1009    1.0000    -36.87      -17.70        0.00        0.00        0.00       17.70        0.00        0.00        0.00
 1010    1.0000    -42.39       -9.90        0.00        0.00        0.00        9.90        0.00        0.00        0.00
 1011    1.0000    -31.56        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1012    1.0000    -36.92      -45.00        0.00        0.00        0.00       45.00        0.00        0.00        0.00
 1013    1.0000    -35.23     -111.40        0.00        0.00        0.00      111.40        0.00        0.00        0.00
 1014    1.0000    -31.16        2.70        0.00        0.00        0.00       -2.70        0.00        0.00        0.00
 1015    1.0000    -48.14      -29.90        0.00        0.00        0.00       29.90        0.00        0.00        0.00
 1016    1.0000    -27.26        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1017    1.0000    -25.34        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1018    1.0000    -27.26        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1019    1.0000    -33.19      -11.90        0.00        0.00        0.00       11.90        0.00        0.00        0.00
 1020    1.0000    -32.37      -46.10        0.00        0.00        0.00       46.10        0.00        0.00        0.00
 1021    1.0000    -29.16      -12.40        0.00        0.00        0.00       12.40        0.00        0.00        0.00
 1022    1.0000    -33.10      -68.10        0.00        0.00        0.00       68.10        0.00        0.00        0.00
 1023    1.0000    -33.50      -32.10        0.00        0.00        0.00       32.10        0.00        0.00        0.00
 1024    1.0000    -33.50      -20.10        0.00        0.00        0.00       20.10        0.00        0.00        0.00
 1025    1.0000    -35.56      -38.70        0.00        0.00        0.00       38.70        0.00        0.00        0.00
 1026    1.0000    -28.07        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1027    1.0000    -28.07        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1028    1.0000    -28.07        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1029    1.0000    -33.68       -1.00        0.00        0.00        0.00        1.00        0.00        0.00        0.00
 1030    1.0000    -45.04      -29.40        0.00        0.00        0.00       29.40        0.00        0.00        0.00
 1031    1.0000    -33.43        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1032    1.0000    -33.43        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1033    1.0000    -33.43      -80.20        0.00        0.00        0.00       80.20        0.00        0.00        0.00
 1034    1.0000    -21.49       -2.00        0.00        0.00        0.00        2.00        0.00        0.00        0.00
 1035    1.0000    -34.09      -37.90        0.00        0.00        0.00       37.90        0.00        0.00        0.00
 1036    1.0000    -34.39      -20.50        0.00        0.00        0.00       20.50        0.00        0.00        0.00
 1037    1.0000    -45.09        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1038    1.0000    -34.26        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1039    1.0000    -31.33        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1040    1.0000    -29.35        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1041    1.0000    -25.40        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1042    1.0000    -29.20        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1043    1.0000    -23.17      -18.90        0.00        0.00        0.00       18.90        0.00        0.00        0.00
 1044    1.0000    -29.27        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1045    1.0000    -47.97      -41.90        0.00        0.00        0.00       41.90        0.00        0.00        0.00
 1046    1.0000    -46.79        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1047    1.0000    -43.71        1.60        0.00        0.00        0.00       -1.60        0.00        0.00        0.00
 1048    1.0000    -48.83      -31.40        0.00        0.00        0.00       31.40        0.00        0.00        0.00
 1049    1.0000    -27.47        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1050    1.0000    -25.70        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1051    1.0000    -39.52        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1052    1.0000    -36.74      -60.10        0.00        0.00        0.00       60.10        0.00        0.00        0.00
 1053    1.0000    -26.89        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1054    1.0000    -19.11        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1055    1.0000    -33.01      -15.50        0.00        0.00        0.00       15.50        0.00        0.00        0.00
 1056    1.0000    -27.71        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1057    1.0000    -32.09        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1058    1.0000    -38.20      -25.90        0.00        0.00        0.00       25.90        0.00        0.00        0.00
 1059    1.0000    -37.88      -16.00        0.00        0.00        0.00       16.00        0.00        0.00        0.00
 1060    1.0000    -32.09        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1061    1.0000    -32.09        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1062    1.0000    -29.32       -4.20        0.00        7.00        0.00       11.20        0.00        0.00        0.00
 1063    1.0000    -41.53      -52.90        0.00        0.00        0.00       52.90        0.00        0.00        0.00
 1064    1.0000    -40.03        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1065    1.0000    -12.58      -28.10        0.00        0.00        0.00       28.10        0.00        0.00        0.00
 1066    1.0000     -5.62      -20.00        0.00        0.00        0.00       20.00        0.00        0.00        0.00
 1067    1.0000     -5.96       21.20        0.00        0.00        0.00      -21.20        0.00        0.00        0.00
 1068    1.0000    -15.59       -4.60        0.00        0.00        0.00        4.60        0.00        0.00        0.00
 1069    1.0000    -14.42        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1070    1.0000    -35.71      -15.20        0.00        0.00        0.00       15.20        0.00        0.00        0.00
 1071    1.0000    -20.44        7.80        0.00       12.00        0.00        4.20        0.00        0.00        0.00
 1072    1.0000    -33.61        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1073    1.0000    -32.85       -0.60        0.00        0.00        0.00        0.60        0.00        0.00        0.00
 1074    1.0000    -34.01        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1075    1.0000    -19.89       -9.10        0.00        0.00        0.00        9.10        0.00        0.00        0.00
 1076    1.0000    -33.12        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1077    1.0000    -29.52        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1078    1.0000    -24.48        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1079    1.0000    -22.72        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1080    1.0000    -19.14       16.50        0.00        0.00        0.00      -16.50        0.00        0.00        0.00
 1081    1.0000    -19.17       16.40        0.00        0.00        0.00      -16.40        0.00        0.00        0.00
 1082    1.0000    -37.95      -22.90        0.00        0.00        0.00       22.90        0.00        0.00        0.00
 1083    1.0000    -23.26      -43.40        0.00        0.00        0.00       43.40        0.00        0.00        0.00
 1084    1.0000    -28.77        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1085    1.0000    -29.91        2.10        0.00        0.00        0.00       -2.10        0.00        0.00        0.00
 1086    1.0000    -27.67       -0.10        0.00        0.00        0.00        0.10        0.00        0.00        0.00
 1087    1.0000    -20.26       -2.00        0.00        0.00        0.00        2.00        0.00        0.00        0.00
 1088    1.0000    -31.25      -22.00        0.00        0.00        0.00       22.00        0.00        0.00        0.00
 1089    1.0000    -21.18        3.40        0.00        0.00        0.00       -3.40        0.00        0.00        0.00
 1090    1.0000    -36.28      -12.90        0.00        0.00        0.00       12.90        0.00        0.00        0.00
 1091    1.0000    -65.13       -9.80        0.00        0.00        0.00        9.80        0.00        0.00        0.00
 1092    1.0000    -35.03       -4.60        0.00        0.00        0.00        4.60        0.00        0.00        0.00
 1093    1.0000    -31.85      -91.80        0.00        0.00        0.00       91.80        0.00        0.00        0.00
 1094    1.0000    -48.02        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1095    1.0000    -43.40       -6.00        0.00        0.00        0.00        6.00        0.00        0.00        0.00
 1096    1.0000    -28.02      -42.30        0.00        0.00        0.00       42.30        0.00        0.00        0.00
 1097    1.0000    -28.04      -57.30        0.00        0.00        0.00       57.30        0.00        0.00        0.00
 1098    1.0000    -27.69        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1099    1.0000    -30.86      -29.30        0.00        0.00        0.00       29.30        0.00        0.00        0.00
 1100    1.0000    -29.46      -39.40        0.00        0.00        0.00       39.40        0.00        0.00        0.00
 1101    1.0000    -28.57      -54.20        0.00        0.00        0.00       54.20        0.00        0.00        0.00
 1102    1.0000    -46.84      -18.20        0.00        0.00        0.00       18.20        0.00        0.00        0.00
 1103    1.0000    -48.26        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1104    1.0000    -48.02      -23.00        0.00        0.00        0.00       23.00        0.00        0.00        0.00
 1105    1.0000    -46.83      -18.20        0.00        0.00        0.00       18.20        0.00        0.00        0.00
 1106    1.0000    -38.25      -19.70        0.00        0.00        0.00       19.70        0.00        0.00        0.00
 1107    1.0000    -28.19      -34.20        0.00        0.00        0.00       34.20        0.00        0.00        0.00
 1108    1.0000    -61.39      -25.10        0.00        0.00        0.00       25.10        0.00        0.00        0.00
 1109    1.0000    -20.22        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1110    1.0000    -23.46       -3.00        0.00        0.00        0.00        3.00        0.00        0.00        0.00
 1111    1.0000    -33.52      -30.80        0.00        0.00        0.00       30.80        0.00        0.00        0.00
 1112    1.0000    -43.80        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1113    1.0000    -21.55       32.00        0.00       32.00        0.00        0.00        0.00        0.00        0.00
 1114    1.0000    -24.94      -10.80        0.00        0.00        0.00       10.80        0.00        0.00        0.00
 1115    1.0000    -29.85        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1116    1.0000    -27.78        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1117    1.0000    -23.98        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1118    1.0000    -34.59       -2.50        0.00        0.00        0.00        2.50        0.00        0.00        0.00
 1119    1.0000    -19.09       -1.00        0.00        0.00        0.00        1.00        0.00        0.00        0.00
 1120    1.0000    -29.18      -61.80        0.00        0.00        0.00       61.80        0.00        0.00        0.00
 1121    1.0000    -27.56      -23.90        0.00        0.00        0.00       23.90        0.00        0.00        0.00
 1122    1.0000    -25.77        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1123    1.0000    -37.62      -23.00        0.00        0.00        0.00       23.00        0.00        0.00        0.00
 1124    1.0000    -39.30      -78.50        0.00        0.00        0.00       78.50        0.00        0.00        0.00
 1125    1.0000    -32.04      -21.50        0.00        0.00        0.00       21.50        0.00        0.00        0.00
 1126    1.0000    -19.60      -21.90        0.00        0.00        0.00       21.90        0.00        0.00        0.00
 1127    1.0000    -19.24      -29.00        0.00        0.00        0.00       29.00        0.00        0.00        0.00
 1128    1.0000    -24.51       -9.90        0.00        0.00        0.00        9.90        0.00        0.00        0.00
 1129    1.0000    -29.19        0.30        0.00        0.00        0.00       -0.30        0.00        0.00        0.00
 1130    1.0000    -32.53       -1.00        0.00        0.00        0.00        1.00        0.00        0.00        0.00
 1131    1.0000    -32.04        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1132    1.0000    -23.45        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1133    1.0000    -47.20      -25.40        0.00        0.00        0.00       25.40        0.00        0.00        0.00
 1134    1.0000    -15.15       -2.10        0.00        0.00        0.00        2.10        0.00        0.00        0.00
 1135    1.0000    -46.21        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1136    1.0000    -43.73        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1137    1.0000    -41.09      -48.00        0.00        0.00        0.00       48.00        0.00        0.00        0.00
 1138    1.0000    -28.94      -17.60        0.00        0.00        0.00       17.60        0.00        0.00        0.00
 1139    1.0000    -28.74      -16.80        0.00        0.00        0.00       16.80        0.00        0.00        0.00
 1140    1.0000    -23.38      -44.90        0.00        0.00        0.00       44.90        0.00        0.00        0.00
 1141    1.0000    -37.97       -2.60        0.00        0.00        0.00        2.60        0.00        0.00        0.00
 1142    1.0000    -38.05       -0.50        0.00        0.00        0.00        0.50        0.00        0.00        0.00
 1143    1.0000    -35.12      -66.40        0.00        0.00        0.00       66.40        0.00        0.00        0.00
 1144    1.0000    -28.78      -20.90        0.00        0.00        0.00       20.90        0.00        0.00        0.00
 1145    1.0000    -27.74      -15.00        0.00        0.00        0.00       15.00        0.00        0.00        0.00
 1146    1.0000    -61.09      -26.50        0.00        0.00        0.00       26.50        0.00        0.00        0.00
 1147    1.0000    -58.61        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1148    1.0000    -25.07      -54.20        0.00        0.00        0.00       54.20        0.00        0.00        0.00
 1149    1.0000    -32.32      -11.00        0.00        0.00        0.00       11.00        0.00        0.00        0.00
 1150    1.0000    -31.02      -33.30        0.00        0.00        0.00       33.30        0.00        0.00        0.00
 1151    1.0000    -20.84      -38.10        0.00        0.00        0.00       38.10        0.00        0.00        0.00
 1152    1.0000    -30.05       -9.10        0.00        0.00        0.00        9.10        0.00        0.00        0.00
 1153    1.0000    -27.46      -12.90        0.00        0.00        0.00       12.90        0.00        0.00        0.00
 1154    1.0000    -46.50      -40.10        0.00        0.00        0.00       40.10        0.00        0.00        0.00
 1155    1.0000    -20.31      -11.00        0.00        0.00        0.00       11.00        0.00        0.00        0.00
 1156    1.0000    -25.57        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1157    1.0000    -24.82        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1158    1.0000    -22.91        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1159    1.0000    -39.05      -31.50        0.00        0.00        0.00       31.50        0.00        0.00        0.00
 1160    1.0000    -34.83        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1161    1.0000    -37.48      -86.80        0.00        0.00        0.00       86.80        0.00        0.00        0.00
 1162    1.0000    -33.55      -31.50        0.00        0.00        0.00       31.50        0.00        0.00        0.00
 1163    1.0000    -33.52      -34.60        0.00        0.00        0.00       34.60        0.00        0.00        0.00
 1164    1.0000    -39.70        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1165    1.0000    -38.54        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1166    1.0000    -39.65        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1167    1.0000    -34.18        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1168    1.0000    -35.57        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1169    1.0000    -34.70       -3.10        0.00        0.00        0.00        3.10        0.00        0.00        0.00
 1170    1.0000    -23.91        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1171    1.0000    -23.20       -6.00        0.00        0.00        0.00        6.00        0.00        0.00        0.00
 1172    1.0000    -32.75      -22.50        0.00        0.00        0.00       22.50        0.00        0.00        0.00
 1173    1.0000    -28.24       -9.30        0.00        0.00        0.00        9.30        0.00        0.00        0.00
 1174    1.0000    -38.58        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1175    1.0000    -36.99        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1176    1.0000    -41.28        0.30        0.00        0.00        0.00       -0.30        0.00        0.00        0.00
 1177    1.0000    -41.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1178    1.0000    -41.17        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1179    1.0000    -40.31        1.00        0.00        0.00        0.00       -1.00        0.00        0.00        0.00
 1180    1.0000    -31.19       -6.90        0.00        0.00        0.00        6.90        0.00        0.00        0.00
 1181    1.0000    -19.06        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1182    1.0000    -45.20      -13.50        0.00        0.00        0.00       13.50        0.00        0.00        0.00
 1183    1.0000    -32.63        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1184    1.0000    -33.08        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1185    1.0000    -33.26       -2.00        0.00        0.00        0.00        2.00        0.00        0.00        0.00
 1186    1.0000    -37.16       -0.30        0.00        0.00        0.00        0.30        0.00        0.00        0.00
 1187    1.0000    -39.28      -66.30        0.00        0.00        0.00       66.30        0.00        0.00        0.00
 1188    1.0000    -36.83      -54.50        0.00        0.00        0.00       54.50        0.00        0.00        0.00
 1189    1.0000    -30.33        1.10        0.00        0.00        0.00       -1.10        0.00        0.00        0.00
 1190    1.0000    -41.94     -174.60        0.00        0.00        0.00      174.60        0.00        0.00        0.00
 1191    1.0000    -25.07      -24.10        0.00        0.00        0.00       24.10        0.00        0.00        0.00
 1192    1.0000    -32.63      -14.80        0.00        0.00        0.00       14.80        0.00        0.00        0.00
 1193    1.0000    -33.08        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1194    1.0000    -31.59      -20.60        0.00        0.00        0.00       20.60        0.00        0.00        0.00
 1195    1.0000    -30.89      -36.60        0.00        0.00        0.00       36.60        0.00        0.00        0.00
 1196    1.0000    -26.44        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1197    1.0000    -26.08        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1198    1.0000    -23.76        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1199    1.0000    -41.28        0.70        0.00        0.00        0.00       -0.70        0.00        0.00        0.00
 1200    1.0000    -40.31        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1201    1.0000    -29.44      -33.10        0.00        0.00        0.00       33.10        0.00        0.00        0.00
 1202    1.0000    -41.13        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1203    1.0000    -38.62      -36.20        0.00        0.00        0.00       36.20        0.00        0.00        0.00
 1204    1.0000    -31.06        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1205    1.0000    -32.66        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1206    1.0000    -35.84      -54.20        0.00        0.00        0.00       54.20        0.00        0.00        0.00
 1207    1.0000    -38.67      -10.10        0.00        0.00        0.00       10.10        0.00        0.00        0.00
 1208    1.0000    -32.65      -17.40        0.00        0.00        0.00       17.40        0.00        0.00        0.00
 1209    1.0000    -30.49        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1210    1.0000    -26.20        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1211    1.0000    -31.06        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1212    1.0000    -29.48        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1213    1.0000    -37.70       -6.90        0.00        0.00        0.00        6.90        0.00        0.00        0.00
 1214    1.0000    -40.99      -17.00        0.00        0.00        0.00       17.00        0.00        0.00        0.00
 1215    1.0000    -21.60       62.00        0.00       62.00        0.00        0.00        0.00        0.00        0.00
 1216    1.0000    -25.56        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1217    1.0000    -29.70      -18.20        0.00        0.00        0.00       18.20        0.00        0.00        0.00
 1218    1.0000    -27.88       -0.20        0.00        0.00        0.00        0.20        0.00        0.00        0.00
 1219    1.0000    -12.89        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1220    1.0000    -33.37       -8.00        0.00        0.00        0.00        8.00        0.00        0.00        0.00
 1221    1.0000    -29.58       -8.00        0.00        0.00        0.00        8.00        0.00        0.00        0.00
 1222    1.0000    -42.39      -47.90        0.00        0.00        0.00       47.90        0.00        0.00        0.00
 1223    1.0000    -31.42      -13.10        0.00        0.00        0.00       13.10        0.00        0.00        0.00
 1224    1.0000    -32.30       -2.80        0.00        0.00        0.00        2.80        0.00        0.00        0.00
 1225    1.0000    -43.88      -27.60        0.00        0.00        0.00       27.60        0.00        0.00        0.00
 1226    1.0000    -43.84      -34.60        0.00        0.00        0.00       34.60        0.00        0.00        0.00
 1227    1.0000    -24.19      -22.60        0.00        0.00        0.00       22.60        0.00        0.00        0.00
 1228    1.0000    -33.08      -16.90        0.00        0.00        0.00       16.90        0.00        0.00        0.00
 1229    1.0000    -48.70        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1230    1.0000    -44.34        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1231    1.0000    -26.52        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1232    1.0000    -37.21       -2.00        0.00        0.00        0.00        2.00        0.00        0.00        0.00
 1233    1.0000    -36.78        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1234    1.0000    -17.00      -46.80        0.00        0.00        0.00       46.80        0.00        0.00        0.00
 1235    1.0000    -30.74      -16.20        0.00        0.00        0.00       16.20        0.00        0.00        0.00
 1236    1.0000    -32.05        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1237    1.0000    -32.05      -46.60        0.00        0.00        0.00       46.60        0.00        0.00        0.00
 1238    1.0000    -19.80      -29.50        0.00        0.00        0.00       29.50        0.00        0.00        0.00
 1239    1.0000    -19.31        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1240    1.0000    -20.36        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1241    1.0000    -19.26        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1242    1.0000    -19.09        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1243    1.0000    -13.92        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1244    1.0000    -30.23      -25.90        0.00        0.00        0.00       25.90        0.00        0.00        0.00
 1245    1.0000    -25.45        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1246    1.0000    -32.74       -7.10        0.00        0.00        0.00        7.10        0.00        0.00        0.00
 1247    1.0000    -32.19      -43.20        0.00        0.00        0.00       43.20        0.00        0.00        0.00
 1248    1.0000    -30.81        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1249    1.0000    -30.59      -28.90        0.00        0.00        0.00       28.90        0.00        0.00        0.00
 1250    1.0000    -30.74        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1251    1.0000    -32.87        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1252    1.0000    -32.87        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1253    1.0000    -27.41      -62.70        0.00        0.00        0.00       62.70        0.00        0.00        0.00
 1254    1.0000    -49.68      -31.90        0.00        0.00        0.00       31.90        0.00        0.00        0.00
 1255    1.0000    -23.72      -24.30        0.00        0.00        0.00       24.30        0.00        0.00        0.00
 1256    1.0000    -25.22      -62.20        0.00        0.00        0.00       62.20        0.00        0.00        0.00
 1257    1.0000    -28.06        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1258    1.0000    -28.55        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1259    1.0000    -26.30        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1260    1.0000    -29.22       -2.10        0.00        0.00        0.00        2.10        0.00        0.00        0.00
 1261    1.0000    -55.98      -11.90        0.00        0.00        0.00       11.90        0.00        0.00        0.00
 1262    1.0000    -23.60        0.10        0.00        0.00        0.00       -0.10        0.00        0.00        0.00
 1263    1.0000    -24.89      -18.50        0.00        0.00        0.00       18.50        0.00        0.00        0.00
 1264    1.0000    -25.48        8.40        0.00       24.00        0.00       15.60        0.00        0.00        0.00
 1265    1.0000    -23.06        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1266    1.0000    -22.56        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1267    1.0000    -32.25       -8.00        0.00        0.00        0.00        8.00        0.00        0.00        0.00
 1268    1.0000    -31.42      -36.10        0.00        0.00        0.00       36.10        0.00        0.00        0.00
 1269    1.0000    -39.50      -92.70        0.00        0.00        0.00       92.70        0.00        0.00        0.00
 1270    1.0000    -36.81        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1271    1.0000    -40.55      -11.00        0.00        0.00        0.00       11.00        0.00        0.00        0.00
 1272    1.0000    -35.08      -33.20        0.00        0.00        0.00       33.20        0.00        0.00        0.00
 1273    1.0000    -11.41      -10.80        0.00        0.00        0.00       10.80        0.00        0.00        0.00
 1274    1.0000    -43.72      -11.30        0.00        0.00        0.00       11.30        0.00        0.00        0.00
 1275    1.0000    -18.58        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1276    1.0000    -18.54        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1277    1.0000    -27.86        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
 1278    1.0000    -39.64      -49.00        0.00        0.00        0.00       49.00        0.00        0.00        0.00
 1279    1.0000    -37.00      -46.00        0.00        0.00        0.00       46.00        0.00        0.00        0.00
 1280    1.0000    -34.09       -1.10        0.00        0.00        0.00        1.10        0.00        0.00        0.00
 1281    1.0000    -35.75      -40.10        0.00        0.00        0.00       40.10        0.00        0.00        0.00
 1282    1.0000    -34.21      -13.10        0.00        0.00        0.00       13.10        0.00        0.00        0.00
 1283    1.0000    -21.65       -9.40        0.00        0.00        0.00        9.40        0.00        0.00        0.00
 1284    1.0000    -40.16       -0.20        0.00        0.00        0.00        0.20        0.00        0.00        0.00
 1285    1.0000    -29.09      -30.20        0.00        0.00        0.00       30.20        0.00        0.00        0.00
